Dataset,Model,Tuner,Run,F1
BreastCancer,SVM,Bayes,6,0.9735
BreastCancer,SVM,Bayes,7,0.9739
BreastCancer,SVM,Bayes,8,0.9736
BreastCancer,SVM,Bayes,9,0.9912
BreastCancer,SVM,Bayes,10,0.9645
BreastCancer,LightGBM,No-Tuning,1,0.9825
BreastCancer,LightGBM,No-Tuning,2,0.9474
BreastCancer,LightGBM,No-Tuning,3,0.9735
BreastCancer,LightGBM,No-Tuning,4,0.9562
BreastCancer,LightGBM,No-Tuning,5,0.9647
BreastCancer,LightGBM,No-Tuning,6,0.9736
BreastCancer,LightGBM,No-Tuning,7,0.9825
BreastCancer,LightGBM,No-Tuning,8,0.9645
BreastCancer,LightGBM,No-Tuning,9,0.9649
BreastCancer,LightGBM,No-Tuning,10,0.9647
BreastCancer,LightGBM,Grid,1,0.9649
BreastCancer,LightGBM,Grid,2,0.9562
BreastCancer,LightGBM,Grid,3,0.9824
BreastCancer,LightGBM,Grid,4,0.9562
BreastCancer,LightGBM,Grid,5,0.9647
BreastCancer,LightGBM,Grid,6,0.9736
BreastCancer,LightGBM,Grid,7,0.9737
BreastCancer,LightGBM,Grid,8,0.9735
BreastCancer,LightGBM,Grid,9,0.9649
BreastCancer,LightGBM,Grid,10,0.9736
BreastCancer,LightGBM,Random,1,0.9649
BreastCancer,LightGBM,Random,2,0.9912
BreastCancer,LightGBM,Random,3,0.9735
BreastCancer,LightGBM,Random,4,0.9649
BreastCancer,LightGBM,Random,5,0.9647
BreastCancer,LightGBM,Random,6,0.9736
BreastCancer,LightGBM,Random,7,0.9737
BreastCancer,LightGBM,Random,8,0.9735
BreastCancer,LightGBM,Random,9,0.9825
BreastCancer,LightGBM,Random,10,0.9649
BreastCancer,LightGBM,Bayes,1,0.9912
BreastCancer,LightGBM,Bayes,2,0.9474
BreastCancer,LightGBM,Bayes,3,0.9735
BreastCancer,LightGBM,Bayes,4,0.9649
BreastCancer,LightGBM,Bayes,5,0.9647
BreastCancer,LightGBM,Bayes,6,0.9736
BreastCancer,LightGBM,Bayes,7,0.9912
BreastCancer,LightGBM,Bayes,8,0.9735
BreastCancer,LightGBM,Bayes,9,0.9737
BreastCancer,LightGBM,Bayes,10,0.9647
CervicalCancer,XGBoost,No-Tuning,1,0.9424
CervicalCancer,XGBoost,No-Tuning,2,0.977
CervicalCancer,XGBoost,No-Tuning,3,0.9471
CervicalCancer,XGBoost,No-Tuning,4,0.9449
CervicalCancer,XGBoost,No-Tuning,5,0.9473
CervicalCancer,XGBoost,No-Tuning,6,0.9604
CervicalCancer,XGBoost,No-Tuning,7,0.9397
CervicalCancer,XGBoost,No-Tuning,8,0.9292
CervicalCancer,XGBoost,No-Tuning,9,0.9572
CervicalCancer,XGBoost,No-Tuning,10,0.9624
CervicalCancer,XGBoost,Grid,1,0.9368
